C05668 C00894
CE1401 C00155
C03023 C00342
C00024 C00033
C01097 C03785
C00065 C02218
CE2179 CE2186
CE5276 CE5025
C14770 CE2725
C00046 C00075
C00787 C02839
C01176 C05497
C00099 C00386
C00422 C00641
CE2956 CE2960
C00219 C05966
C00219 C05965
CE7122 C14153
C04554 C04644
C05475 C02140
C00229 C05223
CE5747 CE5776
C00035 C00046
CE5747 CE5775
CE6506 CE6504
C01777 C00114
CE3809 CE3126
C00101 C00234
CE2956 CE2954
C00077 C00327
C03684 C04244
CE5854 C00191
C05615 C00590
C00035 C00044
C00472 C05309
C01225 C00116
C00165 C01885
C05946 C05947
C06299 G00119
G00125 C06136
CE5869 CE5867
C00219 C05956
C00136 C00877
C00762 C05469
CE6244 CE6241
CE5121 C05275
G00047 G00048
CE5541 CE5536
C00547 CE6194
C00037 C01921
C00106 C00429
C02249 CE4833
C00738 C00206
C06487 C06486
C02406 C05653
C03541 C03541
CE6499 CE6498
C00208 C00277
C00097 C00606
CE4799 CE4800
C00379 C00312
C04903 G00158
C00002 C00008
C00601 C11378
C00923 C00924
C05465 C00245
G04561 G00079
CE5747 CE5754
CE5747 CE5753
C01176 C05488
CE5747 CE5755
CE5847 CE5848
C05579 C05606
CE5747 CE5752
C00447 C00281
CE2179 CE5246
CE2254 C08281
C00046 C00063
C01637 C03402
C00208 C00293
CE1928 CE7073
C05116 C00877
C12214 C12215
C00763 C03564
C00447 C00279
C00696 CE6240
C00376 CE6583
C05403 C05394
C05999 C00546
C00708 C02465
C00376 CE6585
CE5534 CE5828
G00058 G00057
G00058 G00059
C04734 C00130
C05280 CE2424
C06505 C06506
C01646 C01931
C00332 C01144
C00046 C00035
C00025 C01205
C03990 C02592
C00349 C01205
C05270 C00010
CE2179 CE5253
C00084 C00033
CE0074 C00366
C00013 C00046
C05615 C02325
C00013 C00044
G00040 C06130
C00584 C00427
C00356 C00418
CE2174 C00547
C04840 C04453
C06198 C00075
C00123 C00233
CE2257 CE2245
C00046 C00046
C04685 C11304
C00046 C00044
C00066 C04728
C03530 C03531
C00137 C01194
CE6029 C03205
C05269 C05268
C00842 C11907
CE4793 CE4791
C00881 C00239
C02567 C00750
C01136 C00024
C05751 C05752
C00024 C00010
C01259 C00037
C00046 C00015
C01652 C03512
C00046 C00013
C00267 C00369
C00751 C01054
C05350 C01179
C01639 C03125
G00014 G00015
C00821 C03391
G00014 G00013
C00234 C04734
C00468 C05298
C00673 C01801
C00002 C00046
C03340 C00441
CE2883 CE2887
CE4938 C05963
C02050 C01595
C01885 C00641
C00096 C03862
C04364 C04633
CE7097 CE5178
CE6031 C00523
C00013 C00039
C02693 C00954
C05713 C05712
C04717 C01601
C00601 C02477
C01003 C03875
CE5178 CE2445
C00219 CE2565
CE6584 CE5747
CE5254 C05301
CE5114 CE4791
C14861 C14858
C05451 C05455
C02850 C00060
C04805 C05356
C00641 C00350
C05451 C05452
CE4833 CE4831
CE5925 CE5926
CE2872 CE2876
C00461 C03518
CE5148 CE5144
CE5341 CE5329
CE2872 CE2874
CE5895 CE5900
CE2872 CE2873
C06299 C06133
C00097 C00669
CE5647 CE5646
CE5647 CE5648
C00408 C00450
C00376 C00777
C00053 C03642
CE1292 CE1298
C01137 C00750
C14872 C14871
C03758 CE2172
CE5727 C00116
C00033 C13636
C12215 C00117
C00272 C00355
CE5248 CE2180
C00096 C01222
CE6444 CE6453
CE4844 CE4845
C00877 C00136
CE6444 CE6452
CE4844 CE4846
CE5148 CE5150
C00003 C01201
C03415 C05932
C04874 C03820
CE1942 CE1943
CE7172 C05966
CE5848 CE5723
C02128 C02374
CE1360 C00187
CE5159 CE5158
C00179 C00134
C05952 CE4936
C00338 CE7078
C00123 C02047
C05757 C05758
